Id; Source; Translation
0; ADSL; ADSL
1; AGP; AGP
2; AIDS; AIDS
3; ALU; ALU
4; ANSI; ANSI
5; APL; APL
6; APZS; flea allergy dermatitis
7; Akcja "Wisła"; Operation Vistula
8; Akropol; Acropolis
9; Akt Unii z 1707; Acts of Union in 1707
10; Akwitania; Aquitaine
11; Al; Al
12; Al-Ujun; El Aaiún
13; Alabama; Alabama
14; Alamanowie; Alemanni
15; Alanowie; Alani
16; Alawici; Alevites
17; Albanka; Albanian
18; Andrea; Andrea
19; ara błękitna; Indigo Macaw
20; ara żółtoskrzydła; macaw
21; architektura mikroprocesora; microprocessor architecture
22; architektura otwarta; open architecture
23; architektura sieci; network architecture
24; aresztować; arrest
25; argillit; argillite
26; Balijczyk; Balinese
27; Balrog; Balrog
28; Baltona; duty-free store at airport
29; Bambry; Poles of German origin who moved from the area of Bamberg to villages surrounding Poznań
30; Bandar Seri Begawan; Bandar Seri Begawan
31; Bangalur; Bangalore
32; Bangkok; Bangkok
33; Bank Światowy; World Bank
34; Bantu; Bantu
35; Baranek Boży; Lamb of God
36; Bardzo mi się tu podoba!; I like it here a lot
37; Barney; Barney
38; Biały Dom; White House
39; Bretania; Brittany
40; Bretończyk; Breton
41; Brian; Brian
42; Brighton; Brighton
43; Bristol; Bristol
44; Bruce; Bruce
45; Brunei; Brunei
46; Brygida; Bride
47; Brytyjczycy; the British
48; Brytyjka; Briton
49; Brytyjskie Wyspy Dziewicze; British Virgin Islands
50; Budapeszt; Budapest
51; Buenos Aires; Buenos Aires
52; bezspornie; indisputably
53; bezsprzecznie; unquestionably
54; bezstanowy; stateless
55; bezstronnie; without fear or favour
56; bezstronny; impartial
57; bezszelestnie; noiselessly
58; bezszeryfowy; sans serif
59; bezterminowo; for an indefinite period
60; beztlenowy; anaerobic
61; beztroski, niefrasobliwy; unconcerned
62; beztłuszczowa masa mięśniowa; lean muscle mass
63; bezustannie; ceaselessly
64; bezusterkowy; faultless
65; bezwartościowy; valueless
66; bezwarunkowo; implicitly
67; bezwarunkowy; unconditional
68; bezwględność; impartiality
69; bezwiedny; automatic
70; biała fasola; cannellini bean
71; biała księga; White Paper
72; białas; fair-haired person
73; białe; white
74; białe noce; white nights
75; bibliograficzny; bibliographical
76; bibliologia; bibliology
77; biblioteka; library
78; biblioteka wirtualna; Virtual Library
79; bibliotekarstwo; library science
80; bibliotekarz akademicki; academic librarian
81; bibliotekoznawstwo; library science
82; biblista; biblicist
83; bibosz; tippler
84; bibuła do sączenia; filter paper
85; biceps; biceps
86; bicepsy; guns
87; bicie czołem; prostration
88; brzezina; birchwood forest
89; brzmi dobrze; sounds good
90; brzmienie Motown; Motown sound
91; brzmieć prawdziwie; ring true
92; brzmieć znajomo; ring a bell
93; brzoskwinia; peach
94; brzoskwiniowy; peachy
95; brzoza; birch
96; brązowy karzeł; brown dwarf
97; brązowy ze smugami/cętkami innego koloru; brindle
98; buc; arrogant jerk
99; buch; burp!
100; buchać; flare
101; buchać płomieniem; blaze up
102; buciki; booties
103; buczek; howler
104; buczeć; bawl
105; buda; kennel
106; buddyzm zen; Zen Buddhism
107; budionowka; budenovka
108; budka; booth
109; budka startowa; starting house
110; CUP; Central Planning Office
111; CWE; EET
112; Caliban; Caliban
113; Callisto; Callisto
114; Cameroon; Cameroon
115; Centralny Urząd Planowania; Central Planning Office
116; Centrum Nauki Kopernik; Copernicus Science Centre
117; Ceres; Ceres
118; Ces; C flat
119; Cesarstwo rzymskie; Roman Empire
120; Ceses-dur; C double flat major
121; Chanuka; Chanukah
122; Charon; Charon
123; Chartum; Khartoum
124; Chelsea; Chelsea
125; Cheshire; Cheshire
126; Chile; Chile
127; Chiny; China
128; Chińska Republika Ludowa; China
129; Chopin; Chopin
130; Chorwat; Croat
131; Czarna Madonna; Black Madonna of Częstochowa
132; Czarne Koszule; blackshirts
133; Czarnogóra; Montenegro
134; Czech; Czech
135; Czechy; Czech Republic
136; Czego oczy nie widzą, tego sercu nie żal.; What the eye does not see, the heart does not grieve over.
137; Czerwona Księga; Red Book
138; Czeska Szwajcaria; Bohemian Switzerland
139; Czirokezi; Cherokee
140; Czy mogę przyjąć zamówienie?; Can I take your order now?
141; Czy mówisz po polsku?; Do you speak Polish?
142; chrząstki; gristle
143; chrząstkowy; cartilaginous
144; chrząszcz ryjkowiec; weevil
145; chusta; muffler
146; chusta na głowę; headscarf
147; chusteczka do nosa; hankie
148; chusteczka odświeżająca; wipe
149; chusteczki nawilżające; wet wipes
150; chustka na głowę; babushka
151; chutliwy; libidinous
152; chwytać; catch
153; chwytać kogoś za serce; touch someone’s heartstrings
154; chwytać się; cling
155; chwytać w polu gry; field
156; chwytliwy; catchy
157; cuma dziubowa; headline
158; cumować; berth
159; cunnilingus; cunnilingus
160; curriculum vitae; curriculum vitae
161; curry z białej rzodkwi; mooli
162; cwaniacki; cockney
163; cwaniaczek; city slicker
164; cwaniara; cunning woman
165; cwał; gallop
166; cwel; fucker
167; cyberchondria; cyberchondria
168; cyberkultura; cyberculture
169; cybernetyka; cybernetics
170; cyberprzestrzeń; cyberspace
171; cyberpunk; cyberpunk
172; cykliczne; cyclical
173; cymbałki; glockenspiel
174; cymbergaj; coin football
175; cyna; tin
176; cynaderka; kidney stew
177; cynamon; cinnamon
178; cynamonowy; cinnamon
179; cyngiel; hitman
180; cyniczny; cynical
181; cynizm; cynicism
182; cynki; cornett
183; cynkowanie; galvanizing
184; cynober; cinnabar
185; cynocefal; cynocephalus
186; cynowy; tin
187; cypel osobłoski; Osoblaha Hook
188; cyprys; cypress
189; chuchać; blow
190; chuchnąć; blow
191; chudość; thinness
192; chudy jak patyk; as slim as a rake
193; chudzielec; bag of bones
194; chuj; cock
195; chuje; dicks
196; chujogłowy; dickhead
197; chuliganizm; hooliganism
198; chuligaństwo; hooliganism
199; chusta do noszenia dziecka; sling
200; chusteczka; handkerchief
201; chwytliwy; catchy
202; chyba nie; I don’t think so
203; chyba zwariowałeś!; you need your head examined!
204; chyba że; unless
205; cuma; hawser
206; cuma dziubowa; headline
207; cumować; berth
208; cunnilingus; cunnilingus
209; curriculum vitae; curriculum vitae
210; cyfrowe pieniądze; digital cash
211; cyfrowe wywołanie selektywne; DSC
212; cyfrowy aparat fotograficzny; digital camera
213; cyfrowy naziemny; digital terrestrial
214; cyfry; digits
215; cygan; vagrant
216; cyganić; deceive
217; cygarnica; cigar case
218; DIMM; DIMM
219; DJ; DJ
220; DMI; DMI
221; DMTF; DMTF
222; DNP; DNP
223; DPF; diesel particulate filter
224; DPMS; DPMS
225; DSMR; DSMR head
226; DSTN; DSTN
227; DTD; DTD
228; DTMF; DTMF tones
229; DVD; DVD
230; Dacia Duster; Dacia Duster
231; Dakoci; Sioux
232; Dominikanie; Dominican Order
233; Doradztwo i pomoc sądowa dla dzieci i rodzin; Children and Family Court Advisory and Support Service
234; Dortmund; Dortmund
235; Douglas; Douglas
236; Drina; Drina
237; dach; roof
238; dach mansardowy; mansard roof
239; dach składany; hood
240; dachować; overturn
241; dachowy; roofing
242; dachówki; tiles
243; dacza; dacha
244; dobrze po; well over
245; dobrze ponad; well over
246; dobrze prosperować; be flying high
247; dobrze przemyślany; well-conceived
248; dobrze płatny; well-paid
249; dobrze się bawić; have a nice time
250; dobrze się rozpocząć; get off to a good start
251; dobrze się spisać; give a good account of oneself
252; dobrze się zastanowić; sleep on it
253; dobrze sobie radzić; perform
254; dobrze słyszeć!; good to hear
255; dobrze ubrany; well-dressed
256; dochować; keep
257; dochować się; be preserved
258; dochowywać; keep
259; doczekać; live to see
260; doczekać śmierci; meet one's death
261; doczepiać; hook up
262; doczesna; decidua
263; doczesny; evanescent
264; doczytać; finish reading
265; doczytywać; finish reading
266; doczyścić; clean thoroughly
267; dodający otuchy; reassuring
268; dodanie do kalendarza; intercalation
269; dodany; added
270; dodatek aktywizacyjny; additional unemployment prevention allowance
271; dodatek do zakupionego towaru; lagniappe
272; dodatek ilustrowany; colour supplement
273; dodatek nocny; night shift allowance
274; dodatek smakowy; flavor-enhancer
275; drugi w kolejności; second best
276; drugie; second
277; drugie dno; hidden agenda
278; druk do krawędzi; bleed
279; druk od krawędzi do krawędzi; full bleed
280; druk w orientacji poziomej; landscape printing
281; druk wklęsły; intaglio
282; drut telegraficzny; telegraph line
283; druza; druse
284; druzgocący cios; body blow
285; druzgotać; crush
286; drużbowie; groomsmen
287; drużyna atakująca; attacking team
288; EOL; EOL
289; EPP; EPP
290; EPS; EPS file
291; ESP; ESP
292; EUW; EMU
293; Earastotenes; Earstothenes
294; Edek; Ed
295; Edward; Edward
296; Edynburg; Edinburgh
297; Edyp; Oedipus
298; Emilia; Emily
299; Emma; Emma
300; End Of File; EOF
301; Epifania; Epiphany
302; Epimetheus; Epimetheus
303; Episkopi Cantonment; Episkopi Cantonment
304; Erich; Erich
305; Eryda; Eris
306; Eryk; Eric
307; Erywań; Yerevan
308; e-moll; E minor
309; e-zin; e-zine
310; ech!; oh well
311; echinokaktus Williamsa; peyote
312; echo; echo
313; echo serca; heart echo scan
314; ecstasy; Ecstasy
315; edredon; eiderdown
316; edukacja czytelnicza; reading education
317; edukacja domowa; home based learning
318; edukacja przedszkolna; nursery education
319; edukacyjny; educational
320; edycja; edition
321; edycje; editions
322; edytor; rewriter
323; ekspandor; expander
324; eksploracja jaskiń; potholing
325; eksploracja tekstu; text data mining
326; eksploracyjny; exploratory
327; eksplorować; explore
328; eksplozja; explosion
329; eksplozje; explosions
330; eksponat; exhibit
331; eksponent; exponent
332; eksponowany; on show
333; eksport; export
334; eksporterzy; exporters
335; ekspozycja; exposure
336; ekspozycja zawodowa; occupational exposure
337; ekspozytor; expositor
338; ekspres; express
339; ekspres do kawy; coffee maker
340; ekspresja; expression
341; ekspresjonizm; expressionism
342; ekspresyjność; expressiveness
343; ekspresywizm; expressivism
344; ekstrakcja; extraction
345; ekstraklasa; first league
346; ekstrakt słodowy jęczmienia; barley malt extract
347; ekstraktor; extractor
348; ekstrapolacja; extrapolation
349; ekstrawagancja; extravagance
350; ekstrawagancko; extravagantly
351; ekstrawersyjny; extrovert
352; ekstrawertyk; extrovert
353; ekstrem; extreme
354; ekstremalność; extremeness
355; ekstremista; extremist
356; ekstremiści; extremists
357; ekstropianizm; extropianism
358; ekstynkcja; extinction
359; ektomorfik; ectomorph
360; ektoplazma; ectoplasm
361; ekumeniczny; ecumenical
362; ekwant; equant
363; ekwilibrystyczny; unusually skilled
364; ekwipaż; outfittings
365; ekwipować; equip
366; ekwiwalencja; equivalence
367; ekwiwalentny; equivalent
368; elaborat; comprehensive study
369; elastik; elastic
370; emirat; emirate
371; emisja; emission
372; emisja dwutlenku węgla; emission of carbon dioxide
373; emisja głosu; vocal pedagogy
374; emisja promieni gamma; gamma ray emission
375; emisje węgla; carbon emissions
376; emisyjny; flotation
377; emiter; emitter
378; emitowany; emitted
379; emitowany przez telewizję; televised
380; emitować; emit
381; emitować w telewizji; televise
382; emocja; emotion
383; emocjonalizm; emotionalism
384; emocjonalnie; emotionally
385; emocjonalny; emotional
386; emocjonujący; emotion-laden
387; emotikona; emoticon
388; emotywizm; emotivism
389; empatia; empathy
390; emperipoleza; emperipolesis
391; empireum; empyrean
392; empiryczny; empirical
393; empiryt; tektite
394; energochłonny; energy-intensive
395; epidemiologiczny; epidemiological
396; epidermotropizm; epidermotropism
397; epidot; epidote
398; epigamiczny; epigamic
399; Gefion; Gefjon
400; Grzegorz; Gregory
401; Gudżarati; Gujarati
402; Guinness; Guinness
403; Gujana Francuska; French Guiana
404; Gustavia; Gustavia
405; Gwatemala; Guatemala
406; gwiazda polarna; lodestar
407; gwiazda wieczorna; Vesper
408; Gwinea; Guinea
409; gabinet; closet
410; gabinet dyrektora; head teacher's office
411; gabinet kosmetyczny; beautician’s
412; gabinet odnowy; rejuvenation center
413; gabinet pedagoga; guidance room
414; gable; potato fork
415; gminny; communal
416; gnat; bone
417; gnejs; gneiss
418; gniadosz; dun
419; gniazdko; outlet
420; gnuśnie; indolently
421; gnuśność; sloth
422; gnykowy; hyoid
423; gnębiciel; oppressor
424; go; him
425; gobelin; arras
426; godność; dignity
427; godność królewska; royalty
428; godny; deserving
429; godzina przylotu; arrival time
430; grubiaństwo; grossness
431; grubiutki; chubby
432; grubo posmarować; slather
433; grubokońcowość; big-endian
434; gruboskórzec; pachyderm
435; gruboziarnisty; coarse-grained
436; grubość; coarseness
437; grubość książkowa; book weight
438; grubość powłoki mokrej; wet film thickness
439; grubszy koniec; butt
440; gruby wełniany lub jedwabny sznur; gimp
441; gruchać; coo
442; gruchnąć; clunk
443; grupa społecznościowa; social community
444; grupa terrorystyczna; terror group
445; grupa towarzysząca; backing band
446; Hertfordshire; Hertfordshire
447; h; aitch
448; ha; ha
449; habilitacja; tenure (at university)
450; habilitowany; post-doctoral
451; habilitować się; habilitate
452; habit nie czyni mnicha; don’t judge a book by its cover
453; hacjenda; hacienda
454; haczyk; angle
455; haczyk do zasłon; curtain hook
456; haczyki (na sznurowadła); hooks
457; hadron; hadron
458; hafciarstwo; embroidery
459; haft; embroidery
460; haftka; hook and eye
461; hagiografia; hagiography
462; hamburgery; hamburgers
463; hamowanie; curbing
464; hamować; hinder
465; hamulce; brakes
466; hamulec; brake
467; hamulec pneumatyczny; air brake
468; hemipareza; hemiparesis
469; hemochromatoza; hemochromatosis
470; hiena cmentarna; ghoul
471; hierarchia alt; alt hierarchy
472; hierarchia misc; misc hierarchy
473; higiena osobista; personal care
474; higieniczny; hygienic
475; higienista dentystyczny; dental hygienist
476; higroskopijny; hygroscopic
477; hinduizm; Hinduism
478; hinduskie jedzenie; Indian food
479; hiper-; hyper-
480; hiperbola; hyperbole
481; hiperboliczny; hyperbolic
482; hipercholesterolemia; hypercholesterolaemia
483; hipergalaktyka; hypergalaxy
484; hiperkalcemia; hypercalcaemia
485; hiperkonkurencyjny; hypercompetitive
486; hiperlordoza; hollow back
487; hipernowa; hypernova
488; hiperonim; superordinate
489; hiperspektralny; hyperspectral
490; hipertekst; hypertext
491; hipertonia; hypertonia
492; hipertrichoza; hypertrichosis
493; hiperwentylować; hyperventilate
494; hiperłącze; hyperlink
495; hipika; horse racing
496; hipisowski; hippie
497; hipnotyczny; hypnotic
498; hoplita; hoplite
499; horda; horde
500; hormon; hormone
501; hormony; hormones
502; hormony sterydowe; steroid hormones
503; horologia; horology
504; horrendalnie; horrendously
505; horror; horror
506; hortensja pnąca; climbing hydrangea
507; horyzont astronomiczny; celestial horizon
508; hospicjum; hospice
509; hospitalizacja; hospitalization
510; hospitalizować; hospitalize
511; hossa; bull market
512; hostel; flophouse
513; hostia; Host
514; hostować; host
515; hot-dog; hot dog
516; hotel butikowy; boutique hotel
517; hołota; rabble
518; hołubić; dote
519; hrab.; Co
520; hrabina; countess
521; hrabiowie; counts
522; hrabstwa; counties
523; hrabstwo; earldom
524; humoralny; humoral
525; humorysta; humorist
526; humorzasty; moody
527; huncwot; blighter
528; hungarysta; graduate of Hungarian studies
529; hura; hooray
530; hurkotać; rumble
531; hurma; ebony
532; hurra; hooray!
533; hurtem; in bulk
534; hurtownik; warehouseman
535; hurtowy; wholesale
536; husaria; Polish 16th-18th century "winged" cavalry
537; hustać się; wiggle
538; husytyzm; Hussitism
539; huta aluminium; aluminium smelter
540; huta żelaza; steel mill
541; hutniczy; metallurgical
542; hutnik szkła; glass-blower
543; huzia!; hallo
544; huśtawka; swing
545; huśtać; dandle
546; hybryda; hybrid
547; hybrydyzować; hybridise
548; hydatidoza; echinococcal disease
549; hydrant; fireplug
550; hydrargilit; gibbsite
551; hydraulik; plumber
552; ile płacę?; What's the damage?
553; Illinois; Illinois
554; Imogena; Imogen
555; Islandia; Iceland
556; Istambuł; Istanbul
557; Italia; Italy
558; Iwona; Yvonne
559; idempotentny; idempotent
560; identyczność; identical nature
561; identyfikacja; identification
562; identyfikacja użytkownika; user id
563; identyfikator; identity card
564; immunoglobulina; immunoglobulin
565; inaugurować; christen
566; incognito; incognito
567; incydent; incident
568; incydent mukdeński; Manchurian Incident
569; incydentalny; incidental
570; indeks; index
571; industrializować; industrialize
572; indyferencja; indifference
573; indygenizacja; indigenisation
574; indygowiec; indigo plant
575; indyk; turkey
576; indywidualizm; individualism
577; indywidualne ubezpieczenie emerytalne; individual retirement plan
578; indywidualność; individuality
579; indywiduum; individual
580; inercja; inertia
581; inercyjny; inert
582; inessyw; inessive
583; infantylizować; infantilize
584; infantylność; childishness
585; infekcja; infection
586; infekcja ucha; ear infection
587; infekcyjny; infectious
588; instytucjonować; institutionalise
589; interaktywność; interactivity
590; interfejs MIDI; MIDI interface
591; interfejs dysku twardego; hard disk interface
592; interfejs kart pamięci komputerów osobistych; PCMCIA
593; interfejs małych systemów komputerowych; SCSI
594; interfejs obsługiwany myszą; mousable interface
595; interfejs programistyczny Netscape'a; Netscape Application Programming Interface
596; interfejs programistyczny serwerów internetowych; ISAPI
597; interfejs stopnia podstawowego; BRI
598; interfejs użytkownika; user interface
599; interfejs użytkownika CUA; CUA
600; interfejs z wierszem poleceń; command-line interface
601; interfejsy; interfaces
602; italiki; italics
603; izraelskie; Israeli
604; iłowaty; loamy
605; iść; go
606; iść ciężkim krokiem; pound
607; iść dalej prosto; go straight on
608; iść do więzienia; go to prison
609; iść dobrze; go well
610; iść jak kaczka; waddle
611; iść komuś źle; do badly
612; iść na całość; go all the way
613; iść na dyskotekę; go to a disco
614; iść na głosowanie; go to the polls
615; iść na imprezę; go balling
616; iść na koncert; go to a concert
617; iść na pachtę; scrump
618; Jego Książęca mość; His Grace
619; Jehowa; Jehovah
620; Jezu ufam Tobie; Jesus, I trust in You
621; Jezus Chrystus; Jesus Christ
622; Jim; Jim
623; Johannesburg; Johannesburg
624; jolka; dinghy
625; Jonatan; Jonathan
626; Jowisz; Jove
627; Juan; Juan
628; judasz; judas
629; Jugosłowianin; Jugoslav
630; Juliusz Cezar; Caesar
631; jupiter; jupiter lamp
632; Józek; Joey
633; j.a.; AU
634; ja chciałabym; I would like
635; ja cię kręcę!; cor blimey!
636; ja jestem; I am
637; ja mam; I have got
638; jagnić się; lamb
639; jagnięca skóra; lambskin
640; jagnięcina; lamb
641; jagoda dzikiego bzu; elderberry
642; jagody; berries
643; jagody goji; goji
644; jaguar; jaguar
645; jaja; balls
646; jajco; ball
647; jajeczkowanie; ovulation
648; jajecznica; scrambled eggs
649; jajka; eggs
650; jajka w koszulkach; poached eggs
651; jajko na miękko; soft-boiled egg
652; jajko sadzone; fried egg
653; jajko z brojlerni; battery egg
654; jajnik; ovary
655; jajnikowy; ovarian
656; jajogłowy; pointy-head
657; jarmark bożonarodzeniowy; Christmas market
658; jarmuż; collard
659; jarski; vegetable
660; jarzeniowy; fluorescent
661; jarzyna; vegetable
662; jarzynki; veggies
663; jarząb; mountain ash
664; jarzębiak; service-berry brandy
665; jarzębiny; rowan trees
666; jasiek; throw pillow
667; jaskinia; cave
668; jaskinie; caves
669; jaskra; glaucoma
670; jaskrawoczerwony; pillar-box red
671; jaskrawy; brilliant
672; jaspis; jasper
673; jastrun właściwy; ox-eye daisy
674; jastrząb; goshawk
675; jastrzębiec; hawkweed
676; jaszcz; caisson
677; jaszczurczy; saurian
678; jaszmak; yashmak
679; jatrogenny; iatrogenic
680; jawajski; Javanese
681; jawnie; avowedly
682; jawnopłciowy; phanerogamous
683; jawny; open
684; jersey bawełniany; cotton jersey
685; jesteś w tarapatach; you are in for it
686; jeździć na deskorolce; skateboard
687; jeździć na koniu; ride a horse
688; jeździć na nartach wodnych; water-ski
689; jeździć na rowerze; ride a bike
690; jeździć na snowboardzie; snowboard
691; jeździć na łyżworolkach; rollerblade
692; jeździć rowerem; cycle
693; jeździć stopem; hitch
694; jeż; hedgehog
695; jeżeli; if
696; Keith; Keith
697; Kenia; Kenya
698; Kenny; Kenny
699; Kevin; Kevin
700; Kickboard; Kickboard
701; Kielce; Kielce
702; Kigali; Kigali
703; Kijów; Kiev
704; kim; who
705; Kim ty jesteś?; Who are you?
706; kingston; Kingston valve
707; Kinszasa; Kinshasa
708; Kirgistan; Kyrgyzstan
709; Kiszyniów; Chisinau
710; Korona Północna; Corona Borealis
711; Koronna Służba Prokuratorska; Crown Prosecution Service
712; Korynt; Corinth
713; Kosowo; Kosovo
714; Koszalin; Koszalin
715; kozak; badass
716; Koło Fortuny; Wheel of Fortune
717; Koński Łeb; Horsehead Nebula
718; Kościół Mariacki; St. Mary's Basilica
719; kluczowy czynnik sukcesu; critical success factor
720; kluczowy pracownik; key worker
721; klęsnąć; collapse
722; kmieć; serf
723; kmin rzymski; cumin
724; kmiot; bumpkin
725; kmotr; chum
726; kołnierz; collar
727; kołnierz wiertniczy; drill collar
728; kołnierzyk; dickey
729; koło; circle
730; koło do pływania; swim ring
731; koło kwintowe; circle of fifths
732; koło naciągowe; crown wheel
733; koło naukowe; scientific circle
734; koło parlamentarne; caucus
735; koło podbiegunowe; polar circle
736; koło południkowe; meridian transit
737; koło ratunkowe; life preserver
738; koło samochodu; car wheel
739; koło sukcesu; virtuous circle
740; koło wielkie; great circle
741; koło zamachowe; flywheel
742; koło zapasowe; spare wheel
743; kończyć się ostrzeżeniem; end on a cautionary note
744; kończyć studia wyższe; graduate
745; kończyć trasę; terminate
746; kończyć z; finish with
747; kończący się; terminative
748; kość czołowa; frontal bone
749; kość długa; long bone
750; kość guziczna; tailbone
751; kość jarzmowa; malar
752; kość niezgody; bone of contention
753; kość piszczelowa; shinbone
754; kość policzkowa; cheekbone
755; kość ramienna; humerus
756; Laponia; Lapland
757; Lapończyk; Laplander
758; Larry; Larry
759; Laszczyzna; Lachia
760; Latynosi; Hispanics
761; Lawrence; Lawrence
762; Leda; Leda
763; Lucyna; Lucy
764; Luizjana; Louisiana
765; Lukianusz; Lucian
766; Lusaka; Lusaka
767; Luwr; Louvre
768; lajkować; like
769; laka; japan
770; lakier do paznokci; nail polish
771; lakierki; patent leather shoes
772; liczba miejsc siedzących; seat capacity
773; liczba mieszkańców; population
774; liczba naturalna; natural number
775; liczba niewymierna; irrational number
776; liczba parzysta; even number
777; liczba podwójna; dual number
778; liczby parzyste; even numbers
779; liczby ujemne; negative numbers
780; liczby wymierne; rational numbers
781; liczebnik; numeral
782; liczebnik porządkowy; ordinal
783; liczebność próby; sample size
784; luka anionowa; anion gap
785; luka emaptyczna; empathy gap
786; luka produktowa; output gap
787; lukier; icing
788; lukrecja; licorice
789; lukrować; ice
790; luksemburski; of Luxembourg
791; luksusowe biwakowanie; glamping
792; luksusowo wydany prospekt; glossy brochure
793; luksusowy apartament na ostatnim piętrze budynku; penthouse
794; lulek czarny; henbane
795; lumbalizacja; lumbarization
796; luminacja; brilliance
797; luminarz; luminary
798; luminescencyjny; luminescent
799; luminol; luminol
800; lumpenprekariusze; underclass
801; lunapark; amusement park
802; lunatyk; night-walker
803; lunatyzm; sleepwalking
804; luneta; field glass
805; lunetka; spy glass
806; lupa; magnifying glass
807; lureks; lurex
808; lądowanie przymusowe; emergency landing
809; lęk przed śmiercią; fear of death
810; Mateusz; Matthew
811; Matka Boska; Mother of God
812; Matka Boża; Mary, the mother of Jesus
813; Matylda; Matilda
814; Mikołaj Kopernik; Nicholas Copernicus
815; mikroskop; microscope
816; Milicz; Milicz
817; meglitinid; meglitinide
818; mejl; e-mail
819; meksykańska fala; Mexican wave
820; meksykański; Mexican
821; melancholijny; atrabilious
822; melanizacja; melanisation
823; melanoidyna; melanoidin
824; melanż; blend
825; melatonina; melatonin
826; meldować się; check in
827; melioracja; land improvement
828; melioryzm; meliorism
829; melisa lekarska; lemon balm
830; melodia; melody
831; menu okna; window menu
832; menu rozwijalne; pull-down menu
833; metalizować; metallize
834; metaloplastyka; metalwork
835; metalowe oczko; grommet
836; metalowy; metal
837; metalowy plastron ochronny; metallic plastron
838; metalurg; metallurgist
839; metamfetamina; crystal meth
840; metan; methane
841; metanoja; metanoia
842; metaplik z grafiką komputerową; CGM
843; metastatyczny; metastatic
844; metastazy; metastases
845; meteopatia; meteoropathy
846; meteoroid; meteoroid
847; meteorologia; meteorology
848; meteoropata; meteoropathic
849; meteorowy; meteoric
850; meteoryczny; meteoric
851; meteoryt kamienno-żelazny; siderolite
852; meteoryt żelazny; iron meteorite
853; metka z ceną; price tag
854; metkownica; labeller
855; mnemonik; mnemonic
856; mnemonika; mnemonics
857; mnestyczny; mnestic
858; mnich; monk
859; mnie; me
860; mnie również miło poznać; it's nice to meet you too
861; mniej więcej; more or less
862; mniejsza jednostka; subdivision
863; mniejsza z tym; it doesn’t matter
864; mniejsze zło; the lesser evil
865; mniejszy; smaller
