Id; Source; Translation
866; mniemanie; conception
867; mnisi; monkish
868; mniszka; nun
869; mobilizować; mobilize
870; mobilizować wspólnie; pool
871; mobilność; mobility
872; mobilność społeczna; social mobility
873; moc; authority
874; model referencyjny połączen systemów otwartych; OSI Reference Model
875; model w zmniejszonej skali; scale model
876; model zwierzęcy; animal model
877; modelarstwo; model-making
878; modelka; fashion model
879; modelowanie; modeling
880; modelować; pattern
881; modelowy przykład; shining example
882; Nannoperca australis; Southern Pygmy Perch
883; Narodowa Fundacja na rzecz Nauki; NSF
884; Nigdziebądź; Neverwhere
885; Nigeria; Nigeria
886; Nikaragua; Nicaragua
887; Nikaraguańczyk; Nicaraguan
888; Nikozja; Nicosia
889; Nil; Nile
890; Nina; Nina
891; Nizina Amazonki; Amazon Basin
892; Nobel; Nobel Prize
893; Noc żywych trupów; Night of the Living Dead
894; na bazie prefabrykatów; fabless
895; na bazie wody; water-based
896; na bieżąco; on-line
897; na bok; aside
898; na boku; aloof
899; na całe gardło; uproariously
900; na całego; to the full
901; na całej powierzchni; allover
902; na cały głos; at the top of one's voice
903; na całym ciele; allover
904; na chorobowym; off sick
905; na chwilę; momentarily
906; napylanie; sputtering
907; napój alkoholowy; intoxicant
908; napój energetyczny; energizer
909; napój gazowany; carbonated drink
910; narada wojenna; powwow
911; naradzić się; confer
912; narastająca fala; groundswell
913; narastający; cumulative
914; narastać; accrete
915; naraz; at once
916; narazić na; expose to
917; narażający na niewygody; discommoding
918; narażać na niebezpieczeństwo; imperil
919; narażony na stres; under strain
920; narciarnia; ski room
921; narciarstwo; skiing
922; narciarstwo biegowe; cross-country skiing
923; narciarstwo z helikopterem; heli-skiing
924; narciarz alpejski; alpine skier
925; narcystyczny; narcissistic
926; nargile; hooka
927; narkoman, który wstrzykuje sobie w żyłę; mainliner
928; narkomani; addicts
929; narkoplepsja; narcolepsy
930; narkotyk; dope
931; narkotyki; narcotics
932; narkoza; narcosis
933; narobić ambarasu; cause trouble
934; narobić bigosu; make a mess of things
935; narobić komuś obciachu; come down on someone
936; narodowa; national
937; narodowiec; nationalist
938; narodowowyzwoleńczy; national independence
939; narodowościowy; ethnic
940; narodowość polska; Polish nationality
941; narodowy dzień; national day
942; niedługo potem; shortly afterwards
943; niegrzeczny wobec; rude to
944; niehigieniczny; unsanitary
945; niejasny:niejednoznaczny; mistakable
946; niejeden; quite a few
947; niejednolity; patchy
948; niejednorodny; composite
949; niejednoznaczność; ambiguity
950; niekaralność; unpunishability
951; niekochany; loveless
952; niekoedukacyjny; single-sex
953; niekompatybilność; incompatibility
954; niekompetentny; incompetent
955; niekomunikatywny; uncommunicative
956; niekonfliktowy; easy
957; niekonieczne; dispensable
958; niekonieczny; dispensable
959; niekonserwowany; unpreserved
960; niekonstytucyjny; unconstitutional
961; niekontrolowalny; unwieldy
962; niekontrolowanie czynności fizjologicznych; incontinence
963; niekontrolujący czynności fizjologicznych; incontinent
964; niekorzystna umowa; raw deal
965; niekorzystnie wpłynąć na; impair
966; niekorzyść; disadvantage
967; norweski; Norwegian
968; nos; nose
969; nosek; peen
970; nosiciel; carrier
971; nowotwór; neoplasm
972; nowotwór olbrzymiokomórkowy kości; giant-cell tumor of the bone
973; odkupienie; expiation
974; odtwarzacz; player
975; Odyseja; Odyssey
976; Ohio; Ohio
977; Ojcowie Apostolscy; Apostolic Fathers
978; Oklahoma; Oklahoma
979; Oksford; Oxford
980; Ola; Alex
981; Oliwer; Oliver
982; Oliwier; Oliver
983; Olza; Olza
984; Ondine; Ondine
985; Osmanka; Osmanli
986; Ostrawa; Ostrava
987; Otoczenie sieciowe; Network Neighborhood
988; Otto; Otto
989; Oś Berlin-Rzym-Tokio; Rome-Berlin-Tokyo Axis
990; Oświęcim; Auschwitz
991; o Boże; oh God
992; o aksamitnym delikatnym smaku; velvety
993; o bogatym smaku; flavorful
994; o brzasku; at dawn
995; o charakterze nierywalizacyjnym; nonrival
996; o ciasnych poglądach; blinkered
997; o co ci chodzi?; what's the big idea?
998; o mało nie; all but
999; o mój Boże; OMG
1000; o negatywnym wpływie; detrimental
1001; o nie; alack
1002; o nieokreślonej płci; unsexed
1003; o niskich dochodach; low-income
1004; o niskim standardzie; substandard
1005; o niższej jakości; subpar
1006; o obniżonej odporności; immunocompromised
1007; o ograniczonych dochodach; on a budget
1008; o okrągłych kształtach; curvy
1009; o pałąkowatych nogach; bowlegged
1010; o podejrzanej reputacji; louche
1011; o podobnych zapatrywaniach; like-minded
1012; o ponurej twarzy; grim-faced
1013; o przekroju trójkątnym; triangulate
1014; o północy; at midnight
1015; o różowych policzkach; rosy-cheeked
1016; o smaku figi; figgy
1017; odkładać do leżakowania; lay down
1018; odkładać na czarną godzinę; save something for a rainy day
1019; odludzie; god-forsaken place
1020; odma opłucnowa; pneumothorax
1021; odma śródpiersiowa; mediastinal pneumothorax
1022; odmalować się; show
1023; odmalowywać; depict
1024; odmawiać; refuse
1025; odmawiać modlitwę; say a prayer
1026; odmawiać sobie; eschew
1027; odmiany; variations
1028; odmieniać; metamorphose
1029; odmieniec; misfit
1030; odmienić; inflect
1031; odmienne podejście naukowe; different scientific approach
1032; odmienny; different
1033; odmierzyć; measure off
1034; odmieńcy; misfits
1035; odmitologizowywać; demythologize
1036; odmowa; refusal
1037; odmowa ssania piersi; refusal to nurse
1038; odmrozić; frostbite
1039; odmówić; rebuff
1040; PDN; PDN
1041; PEM; PEM
1042; PESEL; personal identity number
1043; PGR; state collective farm
1044; PIM; PIM
1045; Panamczyk; Panamanian
1046; Panamá; Panama City
1047; Pangea; Pangaea
1048; panna; bachelorette
1049; Panzerfaust; Panzerfaust
1050; Papeete; Papeete
1051; papież; Pope
1052; Papuas; Papuan
1053; Papuańczyk; Papuan
1054; Paragwaj; Paraguay
1055; Park Narodowy Gór Stołowych; Stołowe Mountains National Park
1056; Parsifal; Perceval
1057; Partenon; Parthenon
1058; Paryż; Paris
1059; Pasiphae; Pasiphae
1060; Patrycja; Patricia
1061; Paulina; Paulina
1062; paw; peacock
1063; Paxene; Paxene
1064; Polacy; Poles
1065; pogorzelisko; conflagration
1066; pogotowie gazowe; gas rescue team
1067; pogotowie ratunkowe; emergency ambulance service
1068; pogoń za modą; modishness
1069; pogranicze; borderland
1070; pogratulować komuś czegoś; compliment someone on something
1071; pogrom; extermination
1072; pogromca; attacker
1073; pogromca lwów; lion tamer
1074; pogrozić komuś palcem; wag one's finger at someone
1075; pogrubiać kogoś; make someone look fat
1076; pogrubiony; bold
1077; pogruchotać; mangle
1078; pogrupować; group
1079; pogwałcenie prawa; delict
1080; pogwałcony; breached
1081; pogłaskany; stroked
1082; pogłaśniać coś; turn something up
1083; pogłoska; hearsay
1084; pogłosy; echoes
1085; pogłośnić coś; turn something up
1086; pogłębiać; deepen
1087; pogłębiać swoją wiedzę; broaden one’s knowledge
1088; pogłębić; deepen
1089; pohamować; bit
1090; pohukiwać; hoot
1091; pohuśtać się; seesaw
1092; poimek; postposition
1093; poinformować kogoś; break the news to someone
1094; poinformuj nas; let us know
1095; przebudzenie; awakening
1096; przebudzony; awake
1097; przechowanie; storage
1098; przechować przez zimę; winter
1099; przechowywanie RTV; media storage
1100; przechowywanie i przekazywanie głosu; voice store and forward
1101; przechowywać przez zimę; winter
1102; przechowywać w naftalinie; mothball
1103; przechowywać z dala od ognia; keep away from fire
1104; przechwalanie się; vaunt
1105; przechwalać się; blow one's own trumpet
1106; przechwalać się znajomościami; drop names
1107; przechwałka; gasconade
1108; przechwycenie; interception
1109; przechwycona informacja; intercept
1110; przechwyt; steal
1111; przechwytywanie; trapping
1112; przechwytywać; intercept
1113; przechylać się; careen
1114; przechylić; incline
1115; przeciwciała; antibodies
1116; przeciwciało; antibody
1117; przeciwciśnieniowy; counterpressure
1118; przeciwdowód; counterevidence
1119; przeciwdziałać; counter
1120; przeciwgrzybiczy; antifungal
1121; przeciwklin; gib
1122; przeciwkrzepliwy; anticoagulant
1123; SIM; SIM
1124; SIP; SIP
1125; SLIP; SLIP
1126; SMIS; SMIS
1127; SMP; SMP
1128; SMTP; SMTP
1129; SNMP; SNMP
1130; SONET; SONET
1131; sos; gravy
1132; spec; boffin
1133; SQL; SQL
1134; SS; SS
1135; Seattle; Seattle
1136; Sejm Czteroletni; Four-Year Sejm
1137; Sekstans; Sex
1138; sem; meaning property
1139; Senegal; Senegal
1140; Serb; Serb
1141; Serbia i Czarnogóra; Serbia and Montenegro
1142; Seria niefortunnych zdarzeń; A Series of Unfortunate Events
1143; Serwis Informacyjno-Wyszukiwawczy Dow Jonesa; Dow Jones News/Retrieval Service
1144; Setebos; Setebos
1145; Seville orange; pomarańcza gorzka
1146; Sfederowane Stany Mikronezji; Federated States of Micronesia
1147; Sheffield; Sheffield
1148; St. George's; St. George's
1149; St. Peter Port; St. Peter Port
1150; spaść na cztery łapy; fall on one's feet
1151; spaść w dół; decrease
1152; spaść z piedestału; fall off one’s pedestal
1153; specjalista higieny pracy; occupational hygienist
1154; specjalista od depilacji elektrolitycznej; electrologist
1155; specjalista od reklamy; publicist
1156; specjalista od żywienia; nutritionist
1157; sygnałowy; signal
1158; sygnały do odwrotu; recalls
1159; sygnować inicjałami; initial
1160; syjonista; Zionist
1161; syk; fizz
1162; sykać; hiss
1163; syknąć; hiss
1164; sylaba długa; long
1165; sylabiczny; syllabic
1166; sylabogram; syllabogram
1167; sylabus; syllabus
1168; symulakra; simulacrum
1169; symulator; simulator
1170; synestezja; synaesthesia
1171; synkopowany; offbeat
1172; synod; synod
1173; synogarlica; ringed turtle dove
1174; synonimia; synonymousness
1175; Tasmanka; Tasmanian
1176; Taszkent; Tashkent
1177; Tatry; Tatra mountains
1178; Tbilisi; Tbilisi
1179; Ted; Ted
1180; Teheran; Tehran
1181; Tel Awiw; Tel Aviv
1182; Telewizja Polska; TVP
1183; Tennessee; Tennessee
1184; Termopile; Battle of Thermopylae
1185; Tethys; Tethys
1186; Thai ridgeback; Thai Ridgeback
1187; The Valley; The Valley
1188; Thimphu; Thimphu
1189; Thornburgh; Thornburgh
1190; Trójprzymierze; Triple Alliance
1191; tukan; toucan
1192; Tunezyjczyk; Tunisian
1193; Tunis; Tunis
1194; Turecka Republika Cypru Północnego; Northern Cyprus
1195; Turkmenistan; Turkmenistan
1196; Turyn; Turin
1197; tablica ogłoszeniowa; message board
1198; tablica okresowa; periodic table
1199; tablica rejestracyjna; license plate
1200; tablica rozdzielcza; fascia
1201; teren treningowy; training ground
1202; teren zabezpieczony; secure area
1203; terminowość; promptness
1204; terminy; deadlines
1205; termit; termite
1206; termodynamika; thermodynamics
1207; termoelektronowy; thermionic
1208; termoformierka; thermoformer
1209; termogeniczny; thermogenic
1210; termograficzny; thermographic
1211; termoklina; thermocline
1212; terrorysta; terrorist
1213; terrorystyczny; bombing
1214; terroryzowanie; bullying
1215; terroryści; terrorists
1216; terytoria; territories
1217; terytorium; territory
1218; terytorium zamorskie Wielkiej Brytanii; British Overseas Territory
1219; tessarin; bicomplex number
1220; tessera; abaciscus
1221; test akceptacyjny; acceptance test
1222; test beta; beta test
1223; test immunologiczny; immunoassay
1224; test log-rank; log rank test
1225; test luk; cloze test
1226; test na koniec semestru; final exam
1227; test obciążeniowy; stress test
1228; test przesiewowy; screener
1229; test wytrzymałości; endurance training
1230; treści kontrowersyjne; flame bait
1231; treść ustawy; purview
1232; triada stroficzna; triad
1233; trwale chory; permanently sick
1234; trwać; continue
1235; typ widmowy; spectral class
1236; typek; guy
1237; typografia; typography
1238; typologia; typology
1239; typować; pick
1240; typowo; typically
1241; typowy dla osoby w średnim wieku; middle-aged
1242; typowy przypadek; common case
1243; typu przestrzennego; spacelike
1244; tyrada; tirade
1245; tyrania; tyranny
1246; tyranizować; bully
1247; tyrać jak wół; work like Trojan
1248; tyrańsko; tyrannically
1249; tyroksyna; thyroxine
1250; tyły; home front
1251; tzw.; so-called
1252; tęcza; rainbow
1253; tęczówka; iris of eye
1254; tęgi; portly
1255; tęgopokrywy; coleopterous
1256; tępak; dullard
1257; tępieć; become dull
1258; tępić się; become blunt
1259; tępota; dullness
1260; tępy osiłek; lubber
1261; tęsknie za tobą; I miss you
1262; tłamsić; stifle
1263; tłoczek; piston
1264; tłoczenie; press
1265; tłoczony na zimno; cold-pressed
1266; tłoczyć się; pile
1267; tłuc; drub
1268; Uniwersytet Gdański; University of Gdańsk
1269; Uniwersytet Przyrodniczy; University of Environmental and Life Sciences
1270; ubezpieczenie chorobowe; health insurance
1271; ubezpieczenie lotnicze; aviation insurance
1272; ubezpieczenie na życie; life assurance
1273; ubezpieczenie od; insurance against
1274; ubezpieczone; insured
1275; ubezpieczony poniżej wartości; underinsured
1276; ubezpieczyciele; insurers
1277; ubezpieczyć nisko; underinsure
1278; ubezpieczyć poniżej wartości; underinsure
1279; ubezwłasnowolniony; incapacitated
1280; ubiec; anticipate
1281; ubiegający się; claimant
1282; ubiegać; be a candidate for
1283; ubiegać się o; vie
1284; ubiegać się o stanowisko; apply for the position
1285; układanie włosów; styling
1286; układany w stosy; stackable
1287; układarka rur; sideboom
1288; układać  stóg; rick
1289; układać kalambury; pun
1290; układać na styk; abut
1291; układać podłogę; floor
1292; układać równo; align
1293; układać się w logiczną całość; fall into place
1294; układać tak, by zachodziły na siebie; imbricate
1295; ulegać fermentacji octowej; acetify
1296; ulegać koalescencji; coalesce
1297; ulegać komuś; pander to someone
1298; ulgowy; concessionary
1299; ulica dla pieszych; pedestrian street
1300; ulica handlowa; high street
1301; ulice; streets
1302; uliczka z małymi mieszkaniami przerobionymi ze stajen; mews
1303; ulicznik; guttersnipe
1304; ulistnienie; foliation
1305; ulitować się; show mercy
1306; ulokowanie; placement
1307; uruchomieniowy; run-time
1308; uruchomić; actuate
1309; uruchomić komputer; start the computer
1310; uruchomić ponownie; reset
1311; uruchomić silnik; start an engine
1312; urwanie chmury; cloudburst
1313; urwać; break off
1314; urwać się; peter away
1315; uryna; urine
1316; urywać się; peter away
1317; urywek; fragment
1318; urywkowo; discursively
1319; urzec; captivate
1320; urzeczenie; captivation
1321; urzeczywistniać; accomplish
1322; urzeczywistnienie; actualization
1323; urzeczywistnić się; be carried out
1324; urzekający; beguiling
1325; urzet; Isatis
1326; urzynać; cut off
1327; urząd; office
1328; urząd ds. rejestracji spółek; Companies House
1329; urząd koronera; coroner's office
1330; urząd miar; office of measures
1331; urzędas; paper pusher
1332; urzędniczeć; bureaucratize
1333; urzędniczka służby cywilnej; civil servant
1334; uzależniony od czegoś; addicted to something
1335; uzależnić; addict
1336; uzasadniać; justify
1337; uzasadniony; justified
1338; uzbierać; add up
1339; uzbrajać; arm
1340; uzbrajać z góry; forearm
1341; uzbroić; fuse
1342; uzbroić się na nowo; rearm
1343; uzbrojeni bandyci; gunmen
1344; uzbrojenie terenu; sites and services
1345; uzbrojony bandyta; gun-slinger
1346; uzda; snaffle
1347; uzdatniać; treat
1348; uzupełniający; adjunctive
1349; uzupełnianie się; complementarity
1350; uzupełniać; complement
1351; uzupełniać spoinę; repoint
1352; uzupełnienia wojskowe; military draft
1353; uzupełnić; eke out
1354; uzupełnić zaopatrzenie; restock
1355; uzus; usage
1356; uzwojenie wtórne; secondary winding
1357; uzyskanie; obtainment
1358; uzyskać; realise
1359; uzyskać pomoc; get help
1360; uzyskać wycenę; get a quote
1361; uzyskiwać; obtain
1362; uzyskiwać dostęp do; access
1363; uściski; cuddles
1364; uścisnąć; embrace
1365; uściślać; qualify
1366; uściślić; precise
1367; uśmiechający się z wyższością; smirking
1368; WNP; CIS
1369; WORM; WORM
1370; Wielka Niedźwiedzica; Great Bear
1371; Wielka Rafa Koralowa; Great Barrier Reef
1372; Wielka Sobota; Easter Eve
1373; Wielka Trwoga; Great Fear
1374; Wielka Wojna Ojczyźniana; Great Patriotic War
1375; Wielki Atraktor; Great Attractor
1376; Wielki Czwartek; Holy Thursday
1377; Wielki Obłok Magellana; LMC
1378; Wojciech; Adalbert
1379; Wojewódzki Ośrodek Ruchu Drogowego; voivodeship training centre for drivers
1380; Wojna Secesyjna; American Civil War
1381; wjechać w tył; rear-end
1382; wjechać z impetem; plough through
1383; wkalkulować; take account of
1384; wkleić; stick into
1385; wklejać; paste
1386; wklejka; insertion
1387; wklepywać; pat
1388; wklęsłodruk; copper-plate printing
1389; wklęsły; concave
1390; wkraczać; step in
1391; wkraczać na teren prywatny; trespass
1392; wkraść się; slip in
1393; wkładka rozporowa; spacer
1394; wkładki do butów; insoles
1395; wkłucie centralne; central venous catheter
1396; wkłuć; pierce
1397; wlać za dużo wody; overwater
1398; wlec po ziemi; draggle
1399; wlec się noga za nogą; drag one's feet
1400; wlecieć; blow in
1401; wlekący się; draggy
1402; wlew; feed
1403; wlewać; pour
1404; wliczyć w; include in
1405; wmawiać; convince
1406; wylatywać; furl out
1407; wylać na kogoś całą swoją żółć; vent one’s gall on someone
1408; wylać posadzkę; floor
1409; wylać strumieniem; gush from
1410; wylać żale; spill one's guts
1411; wylotnik; outlet of the press
1412; wyludnić; depopulate
1413; wyluzować; chill out
1414; wyluzowywać się; loosen up
1415; wyluzuj!; cool it!
1416; wymaglować; mangle
1417; wymamrotać; slur
1418; wymanewrowywać; outmaneuver
1419; wymarsz; departure
1420; wymarzony; dreamed-of
1421; wymarły; extinct
1422; wymaszerowywać; move off
1423; wymawiać komuś coś; expostulate
1424; wymaz z gardła; throat swab
1425; wymazać; wipe out
1426; wymazać historię logowania; clear log history
1427; zodiak; zodiac
1428; z biegiem czasu; in the course of time
1429; z bliska; closely
1430; z boku; askance
1431; z bożej łaski; bad
1432; z braku lepszego słowa; for want of a better word
1433; z bólem serca; with a heavy heart
1434; z błogosławieństwem; with blessing
1435; z błoną pływną; webbed
1436; z całego serca; wholeheartedly
1437; z całej duszy; hear and soul
1438; z całkowitą pewnością; without missing a beat
1439; z całą pewnością; most certainly
1440; z chowu na wolnym wybiegu; free-range
1441; z chęcią; with pleasure
1442; z czasem; with the passing of time
1443; z czystej ciekawości; just out of curiosity
1444; z czystym sumieniem; with a clear conscience
1445; z dala od rodzinnego domu; far from hearth and home
1446; z góry dziękuję; thank you in advance
1447; z góry skazany na przegraną; doomed
1448; z góry ustalony; pre-established
1449; z honorem; honourable
1450; z inicjałami właściciela; personalised
1451; zapiętek; counter
1452; zapięty; fastened
1453; zaplanowany; planned
1454; zaplanować; schedule
1455; zaplecze badawczo-rozwojowe; development facilities
1456; zaplecze władzy; power base
1457; zaprawiony; on the fritz
1458; zaprawiony w boju; seasoned
1459; zaprawić; season
1460; zaprezentować; parade
1461; zaprezentować się z najlepszej strony; put one's best foot forward
1462; zaprzedaniec; traitor
1463; zaprzepaszczać; squander
1464; zaprzestanie; cut-off
1465; zaprzestać; cease
1466; zgrzewka; carry pack
1467; zgrzyt; grinding
1468; zgrzytanie zębami; gnashing of teeth
1469; zgrzytać zębami; gnash one's teeth
1470; zhardzieć; become haughty
1471; zharmonizować; harmonize
1472; zhańbić; disgrace
1473; zhumanizować; humanize
1474; ziarenkowce; cocci
1475; ziarna słonecznika; sunflower seeds
1476; ziarnienie; graining
1477; ziarnina; granulation
1478; ziarninowanie; granulation
1479; ziarnisty; grained
1480; ziarnko; granule
1481; ziarnko gradu; hailstone
1482; ziarnko pieprzu; peppercorn
1483; ziarno; grain
1484; ziać; breathe
1485; zidiociały; half-assed
1486; zielarski; herbal
1487; zielarz; herbalist
1488; zieleń; green
1489; zielnik; herbal
1490; ziemniaki pieczone; baked potatoes
1491; ziemniok; spud
1492; ziemny; of earth
1493; żeński; female
1494; żeńskie zgromadzenie; sorority
1495; żigolo; gigolo
1496; żmija; adder
1497; żonaty; married (of man)
1498; żonaty z; married to
1499; żonglerka; juggle
1500; żonglować; juggle
1501; żonkil; daffodil
1502; żonobójca; uxoricide
1503; żony; wives
1504; żołdak; brutish soldier
1505; żołnierka; soldiering
1506; żołnierz Armii Czerwonej; Red Army soldier
1507; żołnierz armii amerykańskiej; GI
1508; żołnierz królewskiej straży przybocznej; yeoman
1509; żołądek; stomach
1510; żołądek podchodził mi do gardła; my stomach was churning
1511; żołądek właściwy; abomasum
1512; życz mi powodzenia; wish me good luck
1513; życzenia świąteczne; best wishes
1514; życzenie; wish
1515; z biegiem lat; with the years
1516; z bokobrodami; whiskery
1517; z boku na bok; from side to side
1518; z braku laku dobry i opłatek; beggars can't be choosers
1519; z bujną wyobraźnią; imaginative
1520; z bąbelkami; fizzy
1521; z entuzjazmem; enthusiastically
1522; z fałszywą skromnością; coyly
1523; z frędzlą; braided
1524; z galanterią; gallantly
1525; z gołą głową; bareheaded
1526; z grila; grilled
1527; z grubą warstwą białego włókna; pithy
1528; z gruntu; basically
1529; zapobiegliwie; thoughtfully
1530; zapobiegliwy; precautious
1531; zapoczątkowany; originated
1532; zapowietrzony; airlocked
1533; zapowietrzyć się; become air-locked
1534; zapoznany; acquainted
1535; zapoznawać się z czymś; get feet wet
1536; zapoznać się; get to know each other
1537; zapożyczać się; get into debt
1538; zapożyczenie; borrowing
1539; zapożyczony; derivate
1540; zapracowany; overworked
1541; zapracować na coś; work oneself up
1542; zapraszający do pocałunku; kissable
1543; zapraszać; invite
1544; zapraszać do środka; ask in
1545; zaprawa; ground
1546; zaprawdę; indeed
1547; zaprawiać słodem; malt
1548; zaprawiony kroplą goryczy; bittersweet
1549; zaprawiony żółcią; jaundiced
1550; zgrzytliwy; grating
1551; zgubiony; lost
1552; zgubiony łańcuch; lost chain
1553; zgubić drogę; lose one’s bearings
1554; zgubny; calamitous
1555; zguby; lost and found
1556; zgwałcić; rape
1557; zgład; microsection
1558; zgładzona; slain
1559; zgładzony; slain
1560; zgłaszający reklamację; claimant
1561; zgłaszać; come forward with
1562; zgłaszać protest; protest
1563; zgłaszać się; come forward
1564; ziarnko do ziarnka i zbierze się miarka; a penny saved is a penny earned
1565; ziarnko piasku; sand grain
1566; ziarno czystego metalu; nugget
1567; ziarnować; granulate
1568; zidentyfikować; identify
1569; ziejący; yawning
1570; zielarstwo; herbalism
1571; ziele; herb
1572; ziele jaskrowate; winter aconite
1573; zieleniec; greenstone
1574; zieleń Guigneta; viridian
1575; zimne; cold
1576; żelazobeton; reinforced concrete
1577; żelazonośny; ferrous
1578; żelazowy; ferric
1579; żelbetowy; ferroconcrete
1580; żeliwiak; cupola
1581; żołądek podjeżdżał mi do gardła; my stomach was churning
1582; żołądki; gizzards
1583; żołądkowy; gastric
1584; żołędzie; acorns
1585; żurawiny; cranberries
1586; żurfiks; fixed day
1587; żuwaczka; mandible
1588; żuław; zouave
1589; żużel; cinder
1590; żużel na długim torze; longtrack
1591; żużel na trawie; grasstrack
1592; żwacz; masticator muscle
1593; żwawy; brisk
1594; żwirek; grit
1595; żwirować; cover with gravel
1596; żwirowy; gravelly
1597; życica; darnel
1598; życie codzienne; daily life
1599; życie miłosne; love life
1600; życie nie jest usłane różami; life's not a bed of roses
1601; życie prywatne; private life
1602; ziemianin; earthman
1603; Zimbabwe; Zimbabwe
1604; Zjednoczone Emiraty Arabskie; United Arab Emirates
1605; zmierzch; dusk
1606; zodiak; zodiac
1607; Zurych; Zurich
1608; Zuzanna; Susan
1609; Zwariowałeś?; Are you crazy?
1610; Zwierzo-zwierzenia; Creature Comforts
1611; Związek Achajski; Achaean League
1612; Związek Hanzeatycki; Hansa
1613; Związek Socjalistycznych Republik Radzieckich; Union of Soviet Socialist Republics
1614; Zółta Księga; Yellow Book
1615; z falbankami; frilly
1616; z fiszbinami; underwired
1617; z frędzlami; braided
1618; z furią; furiously
1619; z godnością; worthily
1620; z gustem; aesthetically
1621; z górki; downhill
1622; zapobiegający; preclusive
1623; zapobiegawczy; precautious
1624; zapobiegać wzrostowi rogów; dehorn
1625; zapobiegliwość; foresight
1626; zapoczątkowanie; origination
1627; zapoczątkować; initiate
1628; zapodać; drop
1629; zapodziewać; mislay
1630; zapominalski; forgetful
1631; zapominać; forget
1632; zapowietrzać się; become air-locked
1633; zapowietrzyć; get air in
1634; zapoznanie; orientation
1635; zapoznawać się; become acquainted
1636; zapoznać; acquaint
1637; zapoznać z; acquaint with
1638; zapożyczać; adopt
1639; zaprzestać; cease
1640; zgłodniały; esurient
1641; zgłosić; declare
1642; zgłosić problem; report a problem
1643; ziarno czystego metalu; nugget
1644; ziarnować; granulate
1645; zidentyfikować; identify
1646; ziejący; yawning
1647; zielarstwo; herbalism
1648; ziele; herb
1649; ziele jaskrowate; winter aconite
1650; zieleniec; greenstone
1651; ziemia okrzemkowa; diatomaceous earth
1652; żer; food
1653; żerdź; bird perch
1654; żubr; European bison
1655; żuchwa; jowl
1656; żuchwowy; mandibular
1657; żuczek; little beetle
1658; żuk; beetle
1659; żuk gnojarz; dung beetle
1660; życia; lives
